"GO.ID","Ontology","Term","result"
"GO:0002181","BP","cytoplasmic translation","0.018"
"GO:0006364","BP","rRNA processing","0.02"
"GO:0043065","BP","positive regulation of apoptotic process","0.027"
"GO:0007367","BP","segment polarity determination","0.03"
"GO:0000381","BP","regulation of alternative mRNA splicing, via spliceosome","0.031"
"GO:0008355","BP","olfactory learning","0.033"
"GO:0009267","BP","cellular response to starvation","0.036"
"GO:0007476","BP","imaginal disc-derived wing morphogenesis","0.042"
"GO:0006357","BP","regulation of transcription by RNA polymerase II","0.044"
"GO:0001709","BP","cell fate determination","0.044"
"GO:0005918","CC","septate junction","0.024"
"GO:0022625","CC","cytosolic large ribosomal subunit","0.025"
"GO:0005938","CC","cell cortex","0.036"
"GO:0005776","CC","autophagosome","0.044"
"GO:0005634","CC","nucleus","0.046"
"GO:0003677","MF","DNA binding","0.0012"
"GO:0000981","MF","DNA-binding transcription factor activity, RNA polymerase II-specific","0.0027"
"GO:0042802","MF","identical protein binding","0.0081"
"GO:0000977","MF","RNA polymerase II regulatory region sequence-specific DNA binding","0.0093"
"GO:0043565","MF","sequence-specific DNA binding","0.024"
"GO:0030170","MF","pyridoxal phosphate binding","0.047"
